Participant,Time,Polar_HR,HRMDUAL_HR,Vivo_HR,Polar_RR,HRMDUAL_RR,Vivo_RR
P1,14:37:10,133,129,132,442,466,464
P1,14:37:11,133,128,132,455,917,467
P1,14:37:12,131,128,132,463,447,467
P1,14:37:13,131,142,133,448,443,422
P1,14:37:14,132,126,133,446,881,476
P1,14:37:15,134,124,135,446,437,482
P1,14:37:16,135,124,135,438,874,483
P1,14:37:17,135,123,135,437,437,487
P1,14:37:18,136,124,135,437,441,482
P1,14:37:19,137,138,134,438,502,436
P1,14:37:20,136,132,134,450,526,453
P1,14:37:21,133,129,134,502,518,465
P1,14:37:22,124,133,134,528,491,452
P1,14:37:23,121,129,133,502,474,464
P1,14:37:24,122,126,132,484,461,475
P1,14:37:25,124,123,132,469,454,488
P1,14:37:26,126,121,132,458,450,494
P1,14:37:27,128,128,132,453,447,467
P1,14:37:28,131,127,132,449,452,473
P1,14:37:29,131,127,132,449,463,473
P1,14:37:30,132,126,130,450,475,475
P1,14:37:31,131,120,130,476,468,501
P1,14:37:32,129,114,129,473,479,527
P1,14:37:33,129,126,128,471,482,476
P1,14:37:34,127,123,127,488,472,487
P1,14:37:35,126,124,127,482,460,485
P1,14:37:36,126,124,129,483,455,485
P1,14:37:37,129,124,128,456,477,485
P1,14:37:38,129,125,127,467,519,481
P1,14:37:39,128,128,126,487,525,470
P1,14:37:40,126,138,125,541,487,435
P1,14:37:41,120,129,124,525,482,466
P1,14:37:42,121,123,124,483,489,486
P1,14:37:43,122,122,124,485,484,492
P1,14:37:44,122,120,124,490,475,498
P1,14:37:45,123,120,125,479,466,499
P1,14:37:46,124,121,126,468,464,493
P1,14:37:47,125,122,126,465,474,491
P1,14:37:48,126,124,126,463,510,485
P1,14:37:49,127,126,124,483,500,477
P1,14:37:50,124,127,124,508,495,474
P1,14:37:51,123,125,123,493,495,480
P1,14:37:52,122,124,123,493,484,484
P1,14:37:53,122,123,123,494,471,488
P1,14:37:54,123,122,126,476,454,492
P1,14:37:55,126,121,127,456,461,494
P1,14:37:56,128,122,127,458,480,493
P1,14:37:57,129,124,125,465,514,485
P1,14:37:58,127,126,122,491,508,477
P1,14:37:59,124,128,122,530,503,469
P1,14:38:00,122,128,122,506,487,470
P1,14:38:01,121,126,123,506,468,478
P1,14:38:02,121,122,125,476,454,492
P1,14:38:03,124,119,125,458,479,502
P1,14:38:04,127,118,124,460,506,509
P1,14:38:05,126,120,123,505,493,500
P1,14:38:06,123,122,122,498,530,490
P1,14:38:07,122,126,119,505,541,477
P1,14:38:08,119,123,118,545,516,487
P1,14:38:09,116,120,117,527,513,498
P1,14:38:10,116,120,117,515,505,501
P1,14:38:11,116,115,118,511,490,524
P1,14:38:12,117,110,119,495,486,544
P1,14:38:13,118,106,120,489,478,565
P1,14:38:14,119,118,121,489,483,508
P1,14:38:15,122,121,123,483,470,497
P1,14:38:16,123,120,124,474,459,500
P1,14:38:17,125,124,126,464,459,485
P1,14:38:18,126,123,127,459,458,486
P1,14:38:19,127,123,128,458,456,486
P1,14:38:20,130,123,129,456,447,487
P1,14:38:21,130,122,131,452,440,491
P1,14:38:22,132,106,131,439,466,567
P1,14:38:23,133,118,131,447,528,510
P1,14:38:24,131,134,128,500,494,449
P1,14:38:25,126,133,125,514,515,451
P1,14:38:26,123,125,123,506,521,479
P1,14:38:27,121,121,122,520,497,495
P1,14:38:28,119,121,122,507,480,496
P1,14:38:29,120,119,123,487,482,504
P1,14:38:30,121,105,124,480,477,569
P1,14:38:31,122,111,124,482,473,540
P1,14:38:32,123,114,125,482,474,525
P1,14:38:33,125,115,124,475,493,518
P1,14:38:34,125,116,123,477,493,514
P1,14:38:35,124,116,123,490,491,512
P1,14:38:36,123,116,123,499,478,511
P1,14:38:37,123,116,124,486,470,511
P1,14:38:38,124,116,125,476,467,511
P1,14:38:39,125,116,126,471,460,511
P1,14:38:40,127,116,128,462,448,511
P1,14:38:41,129,116,128,448,1315,511
P1,14:38:42,131,116,128,438,2182,511
P1,14:38:43,133,116,129,435,437,511
P1,14:38:44,136,116,130,434,913,511
P1,14:38:45,136,116,131,451,451,511
P1,14:38:46,134,116,131,454,451,511
P1,14:38:47,134,116,132,452,448,511
P1,14:38:48,133,116,132,449,1747,511
P1,14:38:49,134,116,133,438,432,511
P1,14:38:50,136,116,135,431,427,511
P1,14:38:51,137,116,135,428,1333,511
P1,14:38:52,138,116,135,430,528,511
P1,14:38:53,137,116,135,433,574,511
P1,14:38:54,136,116,135,498,548,511
P1,14:38:55,135,116,135,528,487,511
P1,14:38:56,133,117,135,514,465,511
P1,14:38:57,131,120,134,474,457,501
P1,14:38:58,130,122,133,458,450,493
P1,14:38:59,131,124,133,449,457,483
P1,14:39:00,132,113,133,452,455,531
P1,14:39:01,132,114,132,457,452,525
P1,14:39:02,132,118,133,452,447,508
P1,14:39:03,133,118,133,450,1340,508
P1,14:39:04,133,119,133,446,442,503
P1,14:39:05,133,120,134,445,1310,501
P1,14:39:06,134,123,135,446,438,489
P1,14:39:07,136,137,135,433,437,439
P1,14:39:08,136,122,134,437,456,493
P1,14:39:09,136,125,133,449,457,481
P1,14:39:10,134,129,133,461,454,464
P1,14:39:11,133,156,133,455,904,384
P1,14:39:12,133,130,132,447,463,463
